"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"abar1238",0.196078431372549,-0.842092944836895,"mij",0.269230769230769,-0.445425195963056,FALSE,400,44.345114496944,0,0,0
"abkh1244",0.509090909090909,1.38331096848786,"abk",0.48,2.14588472861639,FALSE,105000,4491.48400604166,0,0,0
"abua1245",0.384615384615385,0.498335643222305,"aah",0.270833333333333,-0.425722413689794,FALSE,NA,NA,0,0,0
"abun1252",0.0727272727272727,-1.71907444143185,"kgr",0.259259259259259,-0.568020285663354,FALSE,3000,5353.42263390456,0,0,0
"acha1249",0.0185185185185185,-2.10447880176909,"acn",0.188679245283019,-1.43576881815118,FALSE,62700,1407.8026249148,0,0,0
"achi1256",0.39622641509434,0.580885811362404,"acr",0.347826086956522,0.520867778134327,FALSE,85600,1721.36366354302,0,0,0
"achi1257",0.2,-0.814212030205264,"ace",0.245283018867925,-0.739851678235201,FALSE,3500000,17513.3248491285,0,0,0
"achu1248",0.418181818181818,0.73698067475459,"acu",0.288461538461538,-0.208991808683909,FALSE,7000,21531.5711983237,0,0,0
"acol1236",0.36,0.323329286765296,"ach",0.26530612244898,-0.493676907652677,FALSE,1197000,33075.9839884663,0,0,0
"adan1251",0.226415094339623,-0.62641039768654,"adn",0.352941176470588,0.58375543101676,TRUE,3000,64.2548290053383,31987.4676484376,31987.4676484376,625460.062463832
"adon1237",0.115384615384615,-1.41579638052623,"adr",0.133333333333333,-2.11622113273569,TRUE,98000,562.204801043496,NA,NA,NA
"adze1240",0.145833333333333,-1.19931716355467,"adz",0.292682926829268,-0.157091796842145,FALSE,30000,1719.71285677608,0,0,0
"afar1241",0.4,0.607714616007936,"aar",0.283018867924528,-0.275906918291214,FALSE,1379200,134557.571513529,0,0,0
"aghe1239",0.277777777777778,-0.261240556677908,"agq",0.346153846153846,0.500308353153532,FALSE,26700,184.406390534015,0,0,0
"aghu1255",0.306122448979592,-0.0597203403778517,"ahh",0.294117647058824,-0.139452577131218,FALSE,3000,2874.33156101126,0,0,0
"aghw1237",0.441860465116279,0.905327169866513,"xag",0.319148936170213,0.16829551144239,FALSE,NA,NA,0,0,0
"agob1244",0.436363636363636,0.866246733501245,"kit",0.314814814814815,0.115009499809737,FALSE,2440,2748.90827713069,0,0,0
"agua1253",0.470588235294118,1.1095710793773,"agr",0.4,1.16232183753514,FALSE,38300,33530.5139442021,0,0,0
"agut1237",0.294117647058824,-0.145070079046111,"agn",0.326086956521739,0.253595253383987,FALSE,15000,195.218396903016,0,0,0
"aheu1239",0,-2.23613867641846,"thm",0.245283018867925,-0.739851678235201,FALSE,700,156.747600110248,0,0,0
"ahom1240",0,-2.23613867641846,"aho",0.235294117647059,-0.862660585279197,FALSE,0,393.14990429394,0,0,0
"aime1238",0.326530612244898,0.0853742153581889,"ail",0.346938775510204,0.509958695491456,FALSE,140,857.859545584768,0,0,0
"ainu1240",0.415094339622642,0.715029834590064,"ain",0.375,0.854958434072252,FALSE,25,106364.748530798,0,0,0
