"special_IDs","LM_ID","lang_rich","area_km2","WE","island_endemics","treatment","log_area","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","dist_continents","dist11k","dist25k","long","lat","abs_lat"
"nvzy",75,9,10842.8495863723,0.0240394765546184,9,"empirical",9.29126111741915,242.618944418587,1118,74.9851116306818,84.956216005508,694108.797966661,45804.7193384454,45804.7193384454,119.952490514247,-9.76075568142654,9.76075568142654
"daic",76,3,10723.1008100826,0.000451878286422446,0,"empirical",9.28015564747061,188.974083156981,524,824.251744851909,18.2020675202033,786.317627775368,786.317627775368,786.317627775368,-60.7461105154452,46.1787771994177,46.1787771994177
"focs",77,5,10784.9075278305,0.000584995172494378,4,"empirical",9.28590298464004,364.94099852877,1200,132.593355795065,46.3951020746175,2629246.94199701,1167874.97750855,1167874.97750855,177.970750432494,-17.8331041540762,17.8331041540762
"imhh",78,2,10535.4890049249,0.000119209156259907,2,"empirical",9.26250474233474,348.228356042728,4120,123.477375117726,23.948731272306,3673671.13260228,3673671.13260228,3673671.13260228,-155.518795194274,19.599664126556,19.599664126556
"aqfa",79,10,9931.21502584592,0.0159517112202284,9,"empirical",9.20343810865223,327.705363685791,2420,84.1499294897678,66.8126761161995,1124520.29950351,13542.8147169709,13542.8147169709,121.065147343328,12.9558215163468,12.9558215163468
"qftd",81,2,9554.3368916735,3.61555045148129e-05,0,"empirical",9.16475045517389,148.314859355451,1210,536.208511100268,23.0387710851953,36322.3493151306,36322.3493151306,36322.3493151306,-153.558046433547,57.4267979656893,57.4267979656893
"illz",82,3,9354.53783998545,0.23859628740403,1,"empirical",9.14361683502771,176.730609749433,1885,610.1255832116,89.0180368313511,70405.4299833788,70405.4299833788,70405.4299833788,33.2275627374471,35.048276166769,35.048276166769
"sfnn",83,5,9269.50194016099,0.0512946117048647,2,"empirical",9.13448492897852,234.025119668893,942,345.960247086099,38.6695255751807,78307.5989313118,78307.5989313118,78307.5989313118,-132.251447129185,53.4377028847771,53.4377028847771
"uurk",85,1,8816.51292506605,1.31838671030117e-07,0,"empirical",9.08438171085564,357.579132417814,792,229.189620840318,36.8906051244501,1924.90291188742,1924.90291188742,1924.90291188742,-73.871570975052,-42.6147986657271,42.6147986657271
"djnj",86,2,8757.24101857655,0.00011443024094622,1,"empirical",9.07763618210528,251.666518951262,2453,551.65468268224,46.3174154860966,82523.9419860312,12606.4039138364,12606.4039138364,9.10560651434456,42.153931949762,42.153931949762
"mlqd",87,2,8787.21604419313,1.96598216481686e-07,0,"empirical",9.08105322199149,364.709658139138,1224,114.167606626718,35.31861000509,704431.25538901,114199.791431128,114199.791431128,-66.4795338088286,18.2236003944139,18.2236003944139
"tprf",88,22,8784.24771397654,0.15700489912021,22,"empirical",9.080715363941,365.97959676852,2605,34.7258439610272,9.75754488189132,1421666.37798217,265963.720277835,265963.720277835,155.304458558315,-6.2274682869555,6.2274682869555
