"","ISO","name","region","AES","EGIDS","L1_pop","L1_pop_prop","island","documentation","area","bordering_language_richness","bordering_language_richness_perkm","bordering_language_evenness","language_richness","threatened_languages","threatened_prop_languages","language_evenness","official_status","language_of_education","minority_education","education_spending","years_of_schooling","GDPpc","life_expectancy_60","urban_change","roads","pop_density","human_footprint","cropland","pop_density_change","footprint_change","cropland_change","pasture","pasture_change","built","built_change","GINI","growing_season","temperature","temperature_seasonality","rainfall_seasonality","threatened_species","threatened_prop_species","waterways","roughness","altitude_range","world_language","Arabic","Malay","English","French","Hindustani","Mandarin","Portuguese","Russian","Spanish","Western_Africa","Oceania","Europe","Southern_Asia","South_America","Northern_America","Africa","South.Eastern_Asia","Arab","Asia","Central_America","Australia_and_New_Zealand","poly_definite","pol_borderline","isolates","family_id","vehicularity","mono_family","isolate_or_mono","small_family","family_sizes","isolate_OR_small_family","poly","Macroarea","islands11km"
"1","aaa","Ghotuo","Western Africa","not endangered","6a",9000,29.36212708,0,"basic",227.0555293,7,0.120828446,0.500626396,30,1,0.033333333,0.192570908,0,0,0,3.06,5.2,2292.445156,13.68090624,34.109,0.354815177,180.8276953,9.259186563,0,173.7354852,8.736487401,-0.000615,0,0,0,0,41.9,239,298.5576846,126.8879038,70.46168836,10,0.058479532,0,5.167666912,351.4570923,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"atla1278",FALSE,FALSE,FALSE,FALSE,1301,FALSE,"All Languages","Africa",FALSE
"2","aab","Alumu-Tesu","Western Africa","not endangered","6a",7000,40.0090138,0,"little or none",39.49597832,3,0.12154016,0.509929144,34,3,0.088235294,0.19766386,0,0,0,3.06,5.2,2292.445156,13.68090624,34.109,0.229006024,91.10606171,12.74777938,0.4,87.66004247,12.17229317,0.4,0,0,0,0,41.9,192,299.1912302,154.0974121,99.08005142,2,0.014844137,0,5.532274246,684.9346924,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"atla1278",FALSE,FALSE,FALSE,FALSE,1301,FALSE,"All Languages","Africa",FALSE
"3","aac","Ari","Oceania","moribund","6b",50,33.94753452,0,"little or none",1102.240604,5,0.031685408,0.512678671,9,2,0.222222222,0.509288679,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.009937491,1.406711676,4.119961682,0.442857143,1.333094878,4.057461682,0.442857143,0,0,0,0,47.8,324,299.5221032,98.44737865,43.32721399,3,0.03,0.006265206,3.526711643,320.3540726,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"suki1244",FALSE,FALSE,FALSE,FALSE,4,FALSE,"All Languages","Papunesia",FALSE
"4","aad","Amal","Oceania","shifting","6a",830,107.9089535,0,"little or none",63.46062922,0,0,0,37,9,0.243243243,0.798589116,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.004395315,4.193278904,3.22,0.06,3.991428823,3.095,0.06,0,0,0,0,47.8,366,299.9903387,32.48586464,23.29760265,4,0.038461538,0,5.861983538,798.9605103,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"sepi1257",FALSE,FALSE,FALSE,FALSE,34,FALSE,"All Languages","Papunesia",FALSE
"5","aae","Arbëreshë Albanian","Europe","threatened","6b",100000,1012.121847,0,"detailed",591.8280621,2,0.007544153,0.383217786,2,0,0,0.433708426,0,0,0,4.164720058,9.7,36000.52012,24.62641265,10.783,0.343043436,264.4516443,19.79474145,0.701333333,248.5774778,18.75440344,0.674666667,0.018,0.017458333,0.157333333,0.148622222,33.1,223,290.0506773,573.2207287,54.80441315,3.428571429,0.054536111,0.016463939,6.456739426,648.4189453,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"indo1319",FALSE,FALSE,FALSE,FALSE,395,FALSE,"All Languages","Eurasia",FALSE
"6","aaf","Aranadan","Southern Asia","shifting","6b",200,0.222047953,0,"little or none",70.35875753,0,0,0,20,4,0.2,0.359379186,0,0,1,3.42347002,5.4,1357.563719,17.73565852,15.676,0.308895994,889.9875531,9.327874502,0,841.6659856,8.467382338,-0.051282051,0,0,0,0,46.45,237,296.9928698,119.6811886,123.5899467,50,0.284090909,0.015051944,5.967473507,792.9188232,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"drav1251",FALSE,FALSE,FALSE,FALSE,72,FALSE,"All Languages","Eurasia",FALSE
"7","aag","Ambrak","Oceania","threatened","6a",290,15.09704043,0,"little or none",44.31627387,4,0.130333576,0.802097942,55,16,0.290909091,0,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.125548593,20.28013599,2.991672454,0.06,19.41947544,2.830942926,0.06,0,0,0,0,47.8,366,298.452042,21.7117939,29.96964264,7,0.058823529,3.2e-05,5.861983538,798.9605103,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"nucl1708",FALSE,FALSE,FALSE,FALSE,54,FALSE,"All Languages","Papunesia",FALSE
"8","aai","Arifama-Miniafia","Oceania","shifting","5",3470,383.6891767,0,"basic",141.1149373,3,0.033704527,0.987565908,9,1,0.111111111,0.736094848,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0,8.929444167,4.800016421,0.386666667,8.579992994,4.675016421,0.386666667,0,0,0,0,47.8,366,298.7967194,85.45122986,27.27783813,5,0.037741915,0.002573671,6.554695368,1320.206238,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"aust1307",FALSE,FALSE,FALSE,FALSE,1149,FALSE,"All Languages","Papunesia",FALSE
"9","aak","Ankave","Oceania","not endangered","5",1600,112.5227511,0,"basic",205.0679028,4,0.070347925,0.52625276,17,2,0.117647059,0.707166046,0,0,1,2.01,4,1928.29268,16.84059019,9.377,0.006466968,15.2940611,2.42,0.01,14.57662133,2.3296875,0.01,0,0,0,0,47.8,366,292.0398476,63.90435028,29.61254141,8,0.04723093,5.27e-08,6.805873156,1690.902893,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"anga1289",FALSE,FALSE,FALSE,FALSE,13,FALSE,"All Languages","Papunesia",FALSE
"10","aal","Afade","Western Africa","threatened","6b",5000,21.77995306,0,"basic",1520.064863,8,0.040300212,0.361969614,11,6,0.545454545,0.318161114,0,0,0,2.807395249,5.286514377,1422.171446,16.28005601,40.79742646,0.299228076,66.25769148,8.878320597,0.037333333,63.92175594,8.388925559,0.037128205,0.220333333,0.206114583,0,0,42.93817252,78,301.4358404,312.7072693,138.8045201,10,0.097087379,0.046885317,3.178839147,164.3442841,1,0,0,1,0.865143767,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,"afro1255",FALSE,FALSE,FALSE,FALSE,295,FALSE,"All Languages","Africa",FALSE
