"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"aaa",237.916837606987,9000,7,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aab",39.7488729709294,7000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aac",1109.64767039847,50,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aad",63.8839259841479,830,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aae",574.504340275191,100000,2,FALSE,73,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aaf",78.6719828248024,200,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aag",43.7937285136431,290,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aai",192.355823825113,3470,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aak",250.692986351438,1600,4,FALSE,NA,19,0,0,0,NA,TRUE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aal",1529.3914152917,5000,8,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"aam",9212.01162919204,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aan",533.312002271181,6,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"South America",0,0,0,0,0,1,0
"aao",1321585.24167429,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aap",5346.87194608664,340,1,FALSE,17,NA,0,0,0,NA,FALSE,TRUE,"South America",0,0,0,0,0,1,0
"aaq",37692.6416715197,1800,2,FALSE,NA,19,0,0,0,NA,TRUE,FALSE,"North America",0,0,0,1,0,0,0
"aar",134557.571513529,1379200,9,FALSE,27,25,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"aas",818.103077387088,350,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"aat",8590.63801024482,50000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"aau",1614.38329692278,7270,10,FALSE,14,17,0,0,0,NA,FALSE,FALSE,"Papunesia",0,0,0,0,1,0,0
"aaw",990.848548168316,2200,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aax",4149.91215995327,10000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aay",3391.95752864145,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"aaz",796.699092958122,70000,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"aba",4247.51646949063,170000,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"abb",422.302114410733,12000,4,FALSE,37,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"abc",74.6124176159501,1660,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abd",21.6007600110024,3800,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"abe",361.482208218426,14,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"North America",0,0,0,1,0,0,0
"abf",55.1594308912754,0,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
