"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"1",27452.8271371074,0,0.601278065823358," "," ","X"," ","X"," "," ",1,2
"2",27454.3614490229,1.53431191556228,0.27919250938373,"X"," ","X"," ","X"," "," ",2,3
"3",27458.3778346766,5.5506975692515,0.037476299312261," ","X","X"," ","X"," "," ",3,3
"4",27459.4486941962,6.62155708881619,0.0219392869659626," "," ","X"," ","X"," "," ",4,2
"5",27461.5257914754,8.69865436807595,0.00776580650558686," "," ","X","X","X"," "," ",5,3
"6",27461.6582952689,8.83115816157806,0.00726798014480809," "," ","X"," ","X","X"," ",6,3
"7",27461.68310912,8.8559720126359,0.00717836393677779,"X"," ","X"," ","X"," "," ",7,3
"8",27461.9860774696,9.15894036227473,0.0061693119624333," "," ","X"," ","X","X"," ",8,3
"9",27462.0152553878,9.1881182804027,0.00607996147283525," "," ","X"," ","X"," ","X",9,3
"10",27462.4503658779,9.62322877054612,0.00489122661811553,"X"," ","X"," ","X","X"," ",10,4
"11",27462.4556568169,9.62851970958218,0.00487830412775521,"X"," ","X"," ","X","X"," ",11,4
"12",27462.9401317423,10.1129946349574,0.00382883347842287,"X"," ","X","X","X"," "," ",12,4
"13",27463.1080073051,10.2808701977447,0.00352056821247908,"X","X","X"," ","X"," "," ",13,4
"14",27463.7378976858,10.9107605784848,0.00256941233725261,"X"," ","X"," ","X"," ","X",14,4
"15",27465.9174155273,13.0902784199679,0.000864087095286018," ","X","X"," ","X"," "," ",15,3
"16",27466.1295970238,13.3024599163982,0.000777110706975009," ","X","X"," ","X","X"," ",16,4
"17",27466.2572993634,13.4301622560852,0.000729042223725796," ","X","X"," ","X","X"," ",17,4
"18",27466.446689096,13.6195519886132,0.000663173592106746," ","X","X","X","X"," "," ",18,4
"19",27466.808226548,13.9810894406401,0.000553503490364314," "," ","X","X","X"," "," ",19,3
"20",27467.373772136,14.5466350286733,0.000417170605529699," "," ","X"," ","X"," ","X",20,3
"21",27467.7622648758,14.9351277684182,0.000343521222966769," ","X","X"," ","X"," ","X",21,4
"22",27469.0367339846,16.2095968772155,0.000181637753780857,"X"," ","X","X","X"," "," ",22,4
"23",27469.2244034876,16.3972663802706,0.000165369040962512," "," ","X"," ","X","X","X",23,4
"24",27469.8599578162,17.0328207087987,0.000120349790568116," "," ","X","X","X","X"," ",24,4
"25",27469.9042232461,17.07708613879,0.000117715383780346,"X","X","X"," ","X"," "," ",25,4
"26",27470.3262992242,17.4991621168156,9.53192439055455e-05," "," ","X","X","X"," ","X",26,4
"27",27470.3819896646,17.5548525572885,9.270167113842e-05,"X"," ","X","X","X","X"," ",27,5
"28",27470.5026542423,17.6755171349141,8.72741410426822e-05,"X"," ","X"," ","X"," ","X",28,4
"29",27470.6146309951,17.7874938877321,8.25220751043487e-05," "," ","X","X","X","X"," ",29,4
"30",27470.866692433,18.0395553256822,7.27504517457343e-05," "," ","X","X","X"," ","X",30,4
"31",27470.8811225164,18.053985409053,7.22274432366984e-05,"X"," ","X"," ","X","X","X",31,5
"32",27470.95821407,18.1310769626361,6.94963544416975e-05," "," ","X"," ","X","X","X",32,4
"33",27471.4540331143,18.6268960069028,5.42370782432942e-05,"X"," ","X","X","X","X"," ",33,5
"34",27471.5653439788,18.7382068714614,5.13009537030187e-05,"X","X","X"," ","X","X"," ",34,5
"35",27471.5670311289,18.7398940215062,5.12576957480814e-05,"X","X","X"," ","X","X"," ",35,5
"36",27471.8010503051,18.973913197784,4.5597649974471e-05,"X"," ","X"," ","X","X","X",36,5
"37",27471.9807596575,19.1536225501586,4.16791708226742e-05,"X","X","X","X","X"," "," ",37,5
"38",27472.1529699266,19.3258328192496,3.82405460951425e-05,"X"," ","X","X","X"," ","X",38,5
"39",27472.4114003816,19.5842632742679,3.36052109016393e-05,"X","X","X"," ","X"," ","X",39,5
"40",27472.6562754722,19.829138364832,2.97325854037997e-05," ","X","X","X","X"," "," ",40,4
"41",27473.1014467424,20.2743096350132,2.37993426590929e-05," "," ","X","X","X","X","X",41,5
"42",27473.4811488494,20.6540117420445,1.96840154403475e-05," ","X","X","X","X","X"," ",42,5
"43",27474.7586161322,21.9314790248536,1.03923843722883e-05," ","X","X","X","X","X"," ",43,5
"44",27474.8272207081,22.0000836007275,1.00419465813263e-05," ","X","X"," ","X"," ","X",44,4
"45",27475.020354813,22.1932177056624,9.1175755105803e-06," ","X","X"," ","X","X","X",45,5
"46",27475.1726485615,22.3455114541284,8.4490757050845e-06,"X"," ","X","X","X"," ","X",46,5
"47",27475.3597320065,22.5325948991049,7.69457341328657e-06," ","X","X"," ","X","X","X",47,5
"48",27475.6948729597,22.8677358523928,6.50743163486632e-06," ","X","X","X","X"," ","X",48,5
"49",27476.0558562141,23.2287191067117,5.43279223253304e-06,"X"," ","X","X","X","X","X",49,6
"50",27477.7999096671,24.9727725597295,2.27146840900336e-06,"X","X","X","X","X"," "," ",50,5
"51",27477.8528480646,25.025710957194,2.21213320219991e-06,"X","X","X"," ","X"," ","X",51,5
"52",27478.7641426716,25.9370055642175,1.40257522919092e-06," ","X","X","X","X"," ","X",52,5
"53",27479.4383897963,26.611252688981,1.00118713803742e-06,"X","X","X"," ","X","X","X",53,6
"54",27479.525530035,26.6983929275921,9.58501946846949e-07," ","X","X","X","X","X","X",54,6
"55",27479.6164410063,26.789303898975,9.15908169427028e-07," "," ","X","X","X","X","X",55,5
"56",27479.6904747565,26.8633376491198,8.82623950579352e-07,"X","X","X","X","X","X"," ",56,6
"57",27480.6769447722,27.8498076648684,5.38972325257295e-07,"X","X","X","X","X","X"," ",57,6
"58",27480.8309493078,28.0038122004808,4.99027875630653e-07,"X"," ","X","X","X","X","X",58,6
"59",27480.9493805024,28.1222433950134,4.70335542366029e-07,"X","X","X"," ","X","X","X",59,6
"60",27481.098446971,28.2713098636013,4.36554456919474e-07,"X","X","X","X","X"," ","X",60,6
"61",27482.0841275694,29.2569904619995,2.66686237363264e-07," "," ","X"," "," "," "," ",61,1
"62",27482.7622617063,29.9351245989492,1.89996520330789e-07,"X","X","X","X","X"," ","X",62,6
"63",27484.1413809026,31.3142437952374,9.53396863341573e-08," ","X","X","X","X","X","X",63,6
"64",27484.7411390925,31.914001985122,7.06379167555519e-08,"X","X","X","X","X","X","X",64,7
"65",27485.7977339051,32.9705967977643,4.16486792962701e-08," "," ","X"," "," ","X"," ",65,2
"66",27487.2927949805,34.4656578730974,1.97220859281538e-08," "," ","X"," "," "," "," ",66,1
"67",27487.3015629503,34.4744258429237,1.96358138469145e-08,"X"," ","X"," "," "," "," ",67,2
"68",27489.7783288411,36.951191733755,5.69149064749743e-09,"X"," ","X"," "," ","X"," ",68,3
"69",27489.9052039927,37.0780668853695,5.34165011070679e-09," ","X","X"," "," "," "," ",69,2
"70",27490.0222679475,37.1951308401767,5.03796704856557e-09,"X","X","X","X","X","X","X",70,7
"71",27490.4825974821,37.6554603747609,4.00217462658521e-09," "," ","X"," "," ","X"," ",71,2
