"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"1",21184.8632202357,0,0.92359962537277,"X","X","X","X","X","X","X",1,7
"2",21189.8478274262,4.98460719048671,0.0763994178684534," ","X","X","X","X","X","X",2,6
"3",21213.1169341119,28.2537138761945,6.76499894547263e-07,"X","X","X","X"," ","X","X",3,6
"4",21215.8933305763,31.0301103406418,1.68803287807929e-07,"X","X"," ","X","X","X","X",4,6
"5",21216.8582821035,31.9950618678231,1.04194390710434e-07," ","X","X","X"," ","X","X",5,5
"6",21222.1857074588,37.3224872230785,7.26120373120363e-09," ","X"," ","X","X","X","X",6,5
"7",21268.7384643996,83.8752441639081,5.65204868084245e-19,"X"," ","X","X","X","X","X",7,6
"8",21299.3393372617,114.47611702597,1.2802971568128e-25," ","X","X"," ","X","X","X",8,5
"9",21299.9846057607,115.121385525021,9.27240744083712e-26,"X"," ","X","X"," ","X","X",9,5
"10",21300.580011814,115.716791578277,6.88496481366147e-26,"X"," "," ","X","X","X","X",10,5
"11",21301.1341994897,116.270979254023,5.21868880581098e-26,"X","X","X"," ","X","X","X",11,6
"12",21326.4270064648,141.563786229064,1.67995693837186e-31,"X","X"," ","X"," ","X","X",12,5
"13",21328.9740575535,144.110837317803,4.70124661034032e-32," ","X","X"," "," ","X","X",13,4
"14",21331.3361503878,146.472930152129,1.44308227186601e-32," ","X"," ","X"," ","X","X",14,4
"15",21331.7486233438,146.885403108045,1.1741503911227e-32,"X","X","X"," "," ","X","X",15,5
"16",21332.237315912,147.374095676256,9.19613809420972e-33," ","X"," "," ","X","X","X",16,4
"17",21333.0832451434,148.220024907652,6.02440673831701e-33,"X","X"," "," ","X","X","X",17,5
"18",21339.5135734551,154.650353219418,2.41872355637225e-34," "," ","X","X","X","X","X",18,5
"19",21366.8589377025,181.995717466765,2.79007472676416e-40," "," "," ","X","X","X","X",19,4
"20",21374.0416523597,189.178432124012,7.68969589041503e-42,"X"," ","X"," ","X","X","X",20,5
"21",21382.9788198742,198.11559963852,8.81511326915597e-44," "," ","X","X"," ","X","X",21,4
"22",21406.7235471416,221.860326905851,6.1535521267295e-49,"X"," "," "," ","X","X","X",22,4
"23",21407.4486026238,222.585382388141,4.28234927708235e-49,"X"," ","X"," "," ","X","X",23,4
"24",21418.2674261628,233.404205927058,1.91603926403342e-51,"X"," "," ","X"," ","X","X",24,4
"25",21447.5122547068,262.649034471062,8.55008779233668e-58," ","X"," "," "," ","X","X",25,3
"26",21449.5334447938,264.670224558129,3.11225177458098e-58,"X","X"," "," "," ","X","X",26,4
"27",21464.6889618285,279.825741592769,1.59256077202622e-61," "," ","X"," ","X","X","X",27,4
"28",21492.3537518584,307.490531622734,1.56589698336944e-67," "," "," "," ","X","X","X",28,3
"29",21503.4858755517,318.622655315998,5.99036439679285e-70," "," "," ","X"," ","X","X",29,3
"30",21512.4573164206,327.594096184905,6.75040157698031e-72," "," ","X"," "," ","X","X",30,3
"31",21529.8047193302,344.94149909445,1.1544866891512e-75,"X"," "," "," "," ","X","X",31,3
"32",21637.7426623749,452.879442139223,4.20690208351906e-99," "," "," "," "," ","X","X",32,2
"33",21710.7416219296,525.878401693852,5.92160922361859e-115,"X","X","X"," ","X","X"," ",33,5
"34",21715.7511431906,530.887922954873,4.83766759518202e-116,"X","X","X","X","X","X"," ",34,6
"35",21743.862502135,558.999281899316,3.80480137346861e-122,"X","X"," "," ","X","X"," ",35,4
"36",21744.2066939365,559.34347370077,3.20325630516425e-122,"X","X","X"," "," ","X"," ",36,4
"37",21748.7585499521,563.895329716412,3.28979407931173e-123,"X","X"," ","X","X","X"," ",37,5
"38",21748.9063973498,564.04317711409,3.05537175954138e-123,"X","X","X","X"," ","X"," ",38,5
"39",21767.798249334,582.935029098331,2.41407370364638e-127," ","X","X"," ","X","X"," ",39,4
"40",21776.9192712217,592.056050985982,2.52432801875622e-129," ","X","X","X","X","X"," ",40,5
"41",21798.4192716647,613.556051429015,5.41352330953833e-134," ","X","X"," "," ","X"," ",41,3
"42",21803.9690984209,619.105878185183,3.37559584188797e-135," ","X"," "," ","X","X"," ",42,3
"43",21807.4252841728,622.562063937094,5.99582906418057e-136," ","X","X","X"," ","X"," ",43,4
"44",21813.0984127608,628.235192525091,3.51515939219474e-137," ","X"," ","X","X","X"," ",44,4
"45",21867.462975401,682.599755165305,5.50592434599572e-149,"X","X"," "," "," ","X"," ",45,3
"46",21871.5728333772,686.709613141487,7.05319546263099e-150,"X","X"," ","X"," ","X"," ",46,4
"47",21924.6862981467,739.823077911013,2.06511189093418e-161," ","X"," "," "," ","X"," ",47,2
"48",21933.5650809662,748.701860730489,2.43747626319675e-163," ","X"," ","X"," ","X"," ",48,3
"49",21995.0140466781,810.150826442397,1.10526656219691e-176,"X","X","X"," ","X"," ","X",49,5
"50",22003.350149113,818.486928877301,1.71121818738999e-178,"X","X","X","X","X"," ","X",50,6
"51",22022.6394513537,837.776231118027,1.10837475623145e-182,"X","X"," "," ","X"," ","X",51,4
"52",22031.1123147658,846.249094530096,1.60260950084411e-184,"X","X"," ","X","X"," ","X",52,5
"53",22034.2649041573,849.401683921576,3.31323030349423e-185,"X","X","X"," "," "," ","X",53,4
"54",22042.6712608663,857.808040630549,4.95261374984745e-187,"X","X","X","X"," "," ","X",54,5
"55",22055.4979450295,870.634724793781,8.1199879067823e-190," ","X","X"," ","X"," ","X",55,4
"56",22058.8777823872,874.014562151493,1.49841815151213e-190," ","X","X","X","X"," ","X",56,5
"57",22059.8672899691,875.004069733423,9.13617025203917e-191,"X"," ","X"," ","X","X"," ",57,4
"58",22064.4133166995,879.550096463827,9.41037699311607e-192,"X"," ","X","X","X","X"," ",58,5
"59",22085.5980646703,900.734844434544,2.36263944372432e-196," ","X"," "," ","X"," ","X",59,3
"60",22089.1945105112,904.331290275444,3.91236313970247e-197," ","X"," ","X","X"," ","X",60,4
"61",22091.934458157,907.071237921293,9.94184726604473e-198," ","X","X"," "," "," ","X",61,3
"62",22095.2104089403,910.34718870464,1.93242840587971e-198,"X"," "," "," ","X","X"," ",62,3
"63",22095.616052757,910.752832521248,1.57768020755836e-198," ","X","X","X"," "," ","X",63,4
"64",22099.8164562564,914.95323602069,1.93158109616933e-199,"X"," "," ","X","X","X"," ",64,4
"65",22101.3542797479,916.491059512198,8.95321097043858e-200,"X"," ","X"," "," ","X"," ",65,3
"66",22106.0240521885,921.160831952784,8.66863300050814e-201,"X"," ","X","X"," ","X"," ",66,4
"67",22151.7174366681,966.854216432403,1.03695103005775e-210,"X","X"," "," "," "," ","X",67,3
"68",22156.6630827126,971.799862476899,8.7463097553896e-212,"X","X","X","X","X"," "," ",68,5
"69",22160.4519111668,975.588690931061,1.31550107948752e-212,"X","X"," ","X"," "," ","X",69,4
"70",22169.8106709121,984.947450676416,1.2214124749456e-214,"X","X","X"," ","X"," "," ",70,4
"71",22186.212930186,1001.34970995032,3.35086556616475e-218,"X","X"," ","X","X"," "," ",71,4
"72",22196.959777119,1012.09655688329,1.55420694127731e-220,"X","X","X","X"," "," "," ",72,4
