"","BIC","delta","weights","L1_pop","min_dist25k","min_distCont","area","island_endemic","model_id","Nparam"
"1",-1553.88729601612,0,0.687370810245598," "," ","X","X"," ",1,2
"2",-1549.43822712544,4.44906889067602,0.0743169796720004," "," ","X","X","X",2,3
"3",-1549.38186915862,4.50542685749224,0.072252033416306," "," ","X"," "," ",3,1
"4",-1548.14591860669,5.74137740942842,0.0389463553262054," ","X","X","X"," ",4,3
"5",-1548.0799939905,5.80730202561017,0.0376835208706359,"X"," ","X","X"," ",5,3
"6",-1546.97811380195,6.90918221416223,0.0217210707651844," ","X"," ","X","X",6,3
"7",-1546.94562249024,6.9416735258767,0.0213710485927201,"X"," ","X"," "," ",7,2
"8",-1545.55666624999,8.33062976612723,0.01067131196927," "," "," ","X","X",8,2
"9",-1545.53056578932,8.3567302267943,0.0105329536576552," "," ","X"," ","X",9,2
"10",-1543.92678594412,9.96051007199844,0.00472382505074338," ","X","X"," "," ",10,2
"11",-1543.57006610016,10.3172299159544,0.00395214686557019,"X"," ","X","X","X",11,4
"12",-1543.09151204667,10.7957839694418,0.00311111727719341," ","X"," "," ","X",12,2
"13",-1542.85685388705,11.0304421290618,0.00276669325127271,"X"," ","X"," ","X",13,3
"14",-1542.31285332561,11.5744426905051,0.00210781645090089,"X","X","X","X"," ",14,4
"15",-1542.26684413924,11.6204518768711,0.00205988047871579," ","X","X","X","X",15,4
"16",-1541.80322300552,12.0840730105956,0.00163368368458883," "," "," "," ","X",16,1
"17",-1541.38363523942,12.5036607766979,0.001324511233707,"X","X","X"," "," ",17,3
"18",-1541.1068874356,12.7804085805165,0.0011533486829795,"X","X"," ","X","X",18,4
"19",-1540.4083546317,13.4789413844173,0.000813347531546644,"X","X"," "," ","X",19,3
"20",-1539.69084068428,14.1964553318319,0.000568159115593948,"X"," "," ","X","X",20,3
"21",-1539.10331449263,14.783981523489,0.000423535957802289,"X"," "," "," ","X",21,2
"22",-1538.36080825884,15.5264877572713,0.000292184455532099," ","X","X"," ","X",22,3
"23",-1536.39925838419,17.4880376319247,0.000109575122310735,"X","X","X","X","X",23,5
"24",-1535.68779801804,18.199497998072,7.67750854607702e-05,"X","X","X"," ","X",24,4
"25",-1532.47445080115,21.4128452149646,1.53975217479637e-05," ","X"," ","X"," ",25,2
"26",-1526.85706031996,27.0302356961574,9.2821799109572e-07,"X","X"," ","X"," ",26,3
"27",-1526.29029725183,27.5969987642807,6.99163818032294e-07," ","X"," "," "," ",27,1
"28",-1524.53261087768,29.3546851384392,2.90336875442866e-07,"X","X"," "," "," ",28,2
"29",-1493.46479616857,60.4224998475449,5.20729224844245e-14," "," "," "," "," ",29,0
"30",-1491.57713202379,62.31016399233,2.02633334586413e-14," "," "," ","X"," ",30,1
"31",-1486.27330255028,67.6139934658356,1.4288905193241e-15,"X"," "," ","X"," ",31,2
"32",-1482.4530079621,71.4342880540153,2.11559496745525e-16,"X"," "," "," "," ",32,1
