"","BIC","delta","weights","L1_pop","min_dist25k","min_distCont","area","island_endemic","model_id","Nparam"
"1",-2955.92695737888,0,0.999369340707569," "," "," "," "," ",1,0
"2",-2939.05113425185,16.875823127029,0.00021636528989464," "," "," ","X"," ",2,1
"3",-2938.42050327082,17.506454108056,0.000157851172938872," ","X"," "," "," ",3,1
"4",-2937.02883853793,18.8981188409434,7.87139408798228e-05," "," ","X"," "," ",4,1
"5",-2936.19835281807,19.7286045608103,5.19653639785347e-05,"X"," "," "," "," ",5,1
"6",-2935.97773980851,19.9492175703635,4.65380805748504e-05," "," "," "," ","X",6,1
"7",-2934.62802095785,21.2989364210252,2.36984937012031e-05," ","X"," ","X"," ",7,2
"8",-2933.21753992481,22.709417454063,1.17068129141943e-05," "," ","X","X"," ",8,2
"9",-2932.21847993629,23.7084774425916,7.10387903935302e-06," ","X"," "," ","X",9,2
"10",-2931.93983402618,23.9871233526956,6.17999846677458e-06," ","X","X"," "," ",10,2
"11",-2931.91731878414,24.0096385947418,6.1108165287727e-06," "," "," ","X","X",11,2
"12",-2931.84474797246,24.0822094064201,5.89305769662284e-06,"X"," "," ","X"," ",12,2
"13",-2931.6007723656,24.3261850132799,5.21629402616546e-06," "," ","X"," ","X",13,2
"14",-2931.49940810947,24.4275492694069,4.95850887262456e-06,"X","X"," "," "," ",14,2
"15",-2930.10291657309,25.8240408057909,2.46664591045738e-06,"X"," ","X"," "," ",15,2
"16",-2929.00680697465,26.9201504042226,1.42590185981028e-06,"X"," "," "," ","X",16,2
"17",-2928.17232227592,27.75463510296,9.39471447498641e-07," ","X"," ","X","X",17,3
"18",-2927.96309219175,27.9638651871255,8.46154853773931e-07," ","X","X","X"," ",18,3
"19",-2927.55297131364,28.373986065234,6.89276120439642e-07," "," ","X","X","X",19,3
"20",-2927.41814730096,28.508810077919,6.44342192465364e-07,"X","X"," ","X"," ",20,3
"21",-2926.00772186747,29.9192355114064,3.18307285560882e-07,"X"," ","X","X"," ",21,3
"22",-2925.24975557408,30.6772018047977,2.17899528106535e-07,"X","X"," "," ","X",22,3
"23",-2925.00697273529,30.9199846435831,1.92990826543622e-07," ","X","X"," ","X",23,3
"24",-2924.98390639972,30.94305097916,1.90777816994727e-07,"X","X","X"," "," ",24,3
"25",-2924.70977947667,31.2171779022065,1.66342019572979e-07,"X"," "," ","X","X",25,3
"26",-2924.63177925508,31.2951781237957,1.59979537560276e-07,"X"," ","X"," ","X",26,3
"27",-2920.96465019226,34.9623071866181,2.55715750605965e-08,"X","X"," ","X","X",27,4
"28",-2920.96080660806,34.9661507708179,2.55224790009835e-08," ","X","X","X","X",28,4
"29",-2920.75471487821,35.1722425006692,2.3023460743371e-08,"X","X","X","X"," ",29,4
"30",-2920.34531625034,35.5816411285341,1.87616410250965e-08,"X"," ","X","X","X",30,4
"31",-2918.03824714477,37.8887102341037,5.91966501299962e-09,"X","X","X"," ","X",31,4
"32",-2913.75313458189,42.1738227969918,6.94699139609146e-10,"X","X","X","X","X",32,5
